"Site Name","Site Number","Address","Town","Description","Summary","Closed","Latitude","Longitude"
"BUXTON LANDFILL",27748,"TOWN FARM RD","BUXTON","7.5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  7.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.HISTORY: THE LANDFILL IS NOW IN THE CLOSING PROCESS, SEVERAL STUDIES HAVE REVEALED NO GROUNDWATER CONTAMINATION OF SERIOUS DEGREE BUT THE POTENTIAL IS ALWAYS THERE.  LISTED AS INACTIVE.","POST-1976",43.61199,-70.50529
"PORTER LANDFILL",27241,"MOSES CHAPMAN RD","PORTER","EXISTENCE IN QUESTION. AFTER THE KEZARS FALLS DUMP (1920'S TO 1940'S) THE TOWN PAID TO BE ABLE TO USE THE CORNISH DUMP; THIS ACCORDING TO AN OLDER TOWN SELECTMAN","EXISTENCE IN QUESTION. AFTER THE KEZARS FALLS DUMP (1920'S TO 1940'S) THE TOWN PAID TO BE ABLE TO USE THE CORNISH DUMP. THIS ACCORDING TO AN OLDER TOWN SELECTMAN","PRE-1976",43.85702,-70.95451
"OLD ORCHARD BEACH DEMO WOOD WASTE LANDFILL",27940,"40 E EMERSON CUMMINGS BLVD","OLD ORCHARD BEACH","6 ACRE LANDFILL CLOSED IN 1998 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1998 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 6 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.HISTORICAL NOTES:THE LANDFILL HAS RECENTLY BEEN CLOSED. A 24 INCH THICK CLAY COVER HAS BEEN PUT OVER THE LANDFILL AS A CAP. 2 OF THE MONITORING WELLS WERE RELOCATED SO FOUR WELLS ARE NOW MONITORING THE GROUNDWATE, WHICH COULD POTENTIALLY BE CONTAMINATED.","POST-1976",43.52292,-70.3936
"WISCASSET LANDFILL",29560,"HUNTOON HILL RD","WISCASSET","4.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 4.5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",44.0354,-69.66616
"UNITY LANDFILL",29410,"CROSBY BROOK RD","UNITY","2.4 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.4 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.HISTORICAL COMMENTS: HYDROGEOLOGIC INVESTIGATION DONE BY SW COLE ENGINEERING INC. REPORT DATED NOV 28, 1990  6 LIBERTY DRIVE  BANGOR, MAINE 04401.  GROUNDWATER HAS BEEN CONTAMINATED. PRELIMINARY INVESTIGATION DONE BY ENGINEERING DYNAMICS  1224 HAMMOND ST  BANGOR, MAINE 04401. SCOTT PAPER CO. RECEIVED A LICENSE TO UTILIZE ITS PULP AND PAPER MILL SLUDGE TO MANUFACTURE TOPSOIL TO BE USED IN CLOSURE OF THE LANDFILL. THE LICENSE WAS ISSUED SEPTEMBER 30, 1994.","POST-1976",44.58739,-69.29231
"BREWER LANDFILL",27370,"WISWELL RD","BREWER","18 ACRE LANDFILL CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM. UPDATE: 5/2012: CONSOLIDATED MATERIAL, FROM JUST WEST OF SID AREY ROAD ACROSS THE STREET FROM LEACHATE PROBLEM AREA, HAS BEEN REMOVED AND PLACED IN  AND ADJACENT TO LANDFILL AND CAPPED.","CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  18 ACRE LANDFILL. THE NEAREST DRINKING WATER WELL IS 1000 FEET AWAY.  VEGETATION DAMAGE CODE 3, MOONSCAPE AND SEVERE VEGETATION KILL IMMEDIATELY BEHIND PILE AND ALONG DITCHING.  DIRECT DISCHARGE TO SURFACE WATER, WETLAND OBSERVED. UPDATE: 5/2012: CONSOLIDATED MATERIAL, FROM JUST WEST OF SID AREY ROAD ACROSS THE STREET FROM LEACHATE PROBLEM AREA, HAS BEEN REMOVED AND PLACED IN  AND ADJACENT TO LANDFILL AND CAPPED.  UPDATE 12/99.  SSP SIZE IS 2500 CUBIC YARDS UNCOVERED. LAND BUREAU IS TRYING TO GET LANDFILL CLOSED. SALT LEACHING FROM PILES WILL BE PART OF LANDFILL LEACHATE.","POST-1976",44.76096,-68.75648
"WESTPORT DUMP",29559,"RTE 144 MAIN RD","WESTPORT ISLAND","","CLOSED IN 1978.  DUMP WAS AN OLD 300-FOOT VIOLATION. IT WAS CLOSED IN 1978. TOWN SAMPLED TWO HOMES. GRADED AND COVERED METALS AREA.","PRE-1976",43.88038,-69.71171
"BROOKTON TWP DUMP",29684,"RTE 1","BROOKTON TWP","","NOTED AS A SOLID WASTE LANDFILL ON BUREAU OF SOLID WASTE MAP. 1958 TOPO MAP ALSO SHOW THIS CLEARING. THIS SMALL (1 ACRE)  LANDFILL APPEARS TO HAVE BEEN ACTIVE FROM THE 1950'S TO THE 1970 OR 80'S. NO OTHER INFO. OLD ENTRY ROAD AND GRASSY AREA TO THE WEST SIDE OF RT ONE WHICH WAS FAIRLY OPEN IN 1997 BUT APPEARS TO BE GETTING INFILLED A BIT WITH TREES AND SCRUB GROWTH AS OF 2007, MORESO AS OF 2011","PRE-1976",45.55784,-67.78584
"EAST MILLINOCKET LANDFILL",29624,"RTE 11","EAST MILLINOCKET","2.3 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.3 ACRE LANDFILL. THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.SITE IS ALSO THE LOCATION OF THE OLD CONE BURNER.  FACILITY HAS NOT OPERATED IN MANY YEARS.","POST-1976",45.6326,-68.58903
"YARMOUTH LANDFILL",28327,"695 E MAIN ST","YARMOUTH","6 ACRE LANDFILL CLOSED IN 1990 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1990 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 6 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.   NOTES:  S-015135-WH: CD DEBRIS, TRANSFER STATION.  CMP ASH DISPOSAL PERMITTED AT SITE IN 1975.  A ONE TIME PERMIT ISSUED TO CMP IN 1978 TO DUMP FILTER SAND IN THE LANDFILL. NO RECENT FOLLOW-UP INFO WAS AVAILABLE. CLOSURE WILL ALSO INCLUDE LEACHATE.  SEE FILES  MUNICIPAL LF CLOSING IN PROGRESS SEPTEMBER 1992. GW MONITORING IS PART OF THE CLOSURE PLAN. CAP PROPOSED TO BE MANUFACTURED. SITE CONTAINS LEGALLY DEPOSITED MERCURY CONTAMINATED SOILS ENCASED IN CONCRETE AND SEVERAL ASBESTOS LOCATIONS.","POST-1976",43.81722,-70.16295
"NEWCASTLE TOWN SSP",34773,"RTE 215","NEWCASTLE","","UNCOVERED 10,000 CU YD SSP ON THE EDGE OF GREAT SALT BAY.  NEAREST WELL IS 1000 FT AWAY.","PRE-1976",44.0487,-69.52865
"LEBANON DUMP",27821,"EAST LEBANON RD","LEBANON","","LANDFILL IS LOCATED NEAR A SAND PIT AND IS A DOCUMENTED GROUND AND SURFACE WATER CONTAMINATOR.","PRE-1976",43.38153,-70.91594
"PENOBSCOT LANDFILL",29764,"PIERCE POND","PENOBSCOT","2.5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.47819,-68.73061
"HAMPDEN LANDFILL",79888,"BAKER RD","HAMPDEN","2 ACRE LANDFILL CLOSED IN 1976 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  CLOSURE PROCEDURE UNKNOWN.","CLOSED IN 1976 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  CLOSURE PROCEDURE UNKNOWN.","POST-1976",44.69642,-68.86656
"RANGELEY PLANTATION LANDFILL",29519,"MARTIN BROOK RD","RANGELEY PLT","0.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 0.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.92946,-70.65853
"ANSON MADISON SANITARY DIST LANDFILL",27587,"ARNOLD ST","ANSON","8 ACRE ACTIVE LANDFILL.  ","8 ACRE ACTIVE LANDFILL.  ACTIVE SANITARY LANDFILL FOR THE DISPOSAL OF PAPER MILL WASTE (SLUDGE).  CONTAMINATION LIKELY DUE TO A BREACH IN THE SOIL LINER SYSTEM,  LEACHEATE COLLECTION VIA UNDER DRAIN AND DETENTION POND.","POST-1976",44.79247,-69.89245
"BUCKFIELD LANDFILL",29511,"RTE 140 SUMNER RD","BUCKFIELD","2 ACRE LANDFILL CLOSED IN 1984 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1984 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM. HISTORY: BUCKFIELD AND SUMNER SHARED.  DUMP IS LOCATED NEXT TO THE ROAD, ON A TERRACE, ABOVE THE FLOOD PLAIN OF THE NEZINSCOT RIVER.","POST-1976",44.31058,-70.36071
"OLD FARMINGTON LANDFILL",29350,"INDUSTRY RD","FARMINGTON","3 ACRE LANDFILL CLOSED IN 1976  THE LANDFILL WAS CLOSED PRIOR TO THE ESTABLISHMENT OF THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM IN 1988.  THEREFORE THE CLOSURE PROCEDURE IS UNKNOWN.","CLOSED IN 1976. 3 ACRE LANDFILL.   THE LANDFILL WAS CLOSED PRIOR TO THE ESTABLISHMENT OF THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM IN 1988.  THEREFORE THE CLOSURE PROCEDURE IS UNKNOWN. REPORT DONE BY COFFIN AND RICHARDSON IN SEPTEMBER 1974  141 MILK ST. BOSTON, MASS. 02109 PHONE(617)-482-3440.","POST-1976",44.69922,-70.11355
"YORK DUMP",27210,"SEWALL'S PASTURE RD","YORK","","ABANDONED TOWN DUMP, NEXT TO INTERSTATE.","PRE-1976",43.19974,-70.64276
"NORTH YARMOUTH MUNICIPAL LANDFILL",79889,"W POWNAL RD","NORTH YARMOUTH","5 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",43.88878,-70.22446
"WEST PARIS LANDFILL",27304,"PIONEER ST","WEST PARIS","2 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.DUMP IS LOCATED ON A SAND AND GRAVEL AQUIFER, NEAR THE MUNICIPAL WATER SUPPLY.","POST-1976",44.32368,-70.56229
"WESLEY LANDFILL",29750,"RTE 9","CRAWFORD","2.5 ACRE LANDFILL CLOSED IN 1993  THE LANDFILL CLOSURE PROCEDURE IS UNKNOWN.","CLOSED IN 1993. 2.5 ACRE LANDFILL   THE LANDFILL CLOSURE PROCEDURE IS UNKNOWN.","POST-1976",45.00115,-67.62172
"LIVERMORE FALLS LANDFILL",28561,"OFF RTE 133/DIAMOND RD","LIVERMORE FALLS","7.5 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  7.5 ACRE LANDFILL. THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM. HISTORY: SITE WAS OPENED IN 1957, A REPORT SAID NO GROUNDWATER MONITORING WELLS WERE REQUIRED, SO EXTENT OF CONTAMINATIONIS UNKNOWN.","POST-1976",44.42991,-70.15913
"DEXTER LANDFILL",27483,"UPPER GARLAND RD","DEXTER","10 ACRE LANDFILL CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 10 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM. SIGNIFICANT LEACHATE ON THE SOUTHERN BOUNDARY OF THE LANDFILL","POST-1976",45.02159,-69.26998
"WINSLOW LANDFILL OLD",27777,"REYNOLDS RD","WINSLOW","","A PRIVATELY OWNED, LICENSED, AND OPERATED LANDFILL BEGIN IN THE 1940'S SERVING THE TOWN OF WINSLOW AND THE SCOTT PAPER CO. THIS IS ON FILE WITH THE EPA AS LOW PRIORITY HAZARDOUS WASTE SITE (1982). THE LANDFILL IS INACTIVE SINCE 1975. FOUND NO INFORMATION MORE RECENT THAN 6/82. (NO CLOSURE DOCUMENTS OR GROUNDWATER DATA).","PRE-1976",44.50129,-69.59409
"GREATER AUGUSTA UTILITY DISTRICT SLUDGE LANDFILL",94974,"HATCH HILL","AUGUSTA","16 ACRE LANDFILL CLOSED IN 1999 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1999 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  16 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",44.32367,-69.71598
"BATH LANDFILL",27522,"DETRITUS DRIVE","BATH","10 ACRE ACTIVE LANDFILL.  ","LANDFILL STILL OPEN. IT EXPANDED TO 15 ACRES IN 1982 UNDER DEP APPROVAL. IN 1987 DEP APPROVED THE USE OF DREDGE SPOILSFROM BIW AS A COVERING MATERIAL. THIS SITE SEEMS TO HAVE A HIGH POTENTIAL FOR GROUNDWATER CONTAMINATION.","POST-1976",43.94238,-69.82296
"OLD ORCHARD BEACH LANDFILL - OLD",27939,"103 SMITHWHEEL RD","OLD ORCHARD BEACH","5 ACRE LANDFILL CLOSED IN 1978 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1978 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.NOTES: STILL BEING MONITORED. GAS PROBES INSTALLED. HAVE DETECTED A HIGH CONCENTRATIONN OF METHANE GAS BEING DISCHARGED FROM THE TWO LANDFILLS. CONTAMINATION IS PROBABLE.","POST-1976",43.51757,-70.40711
